Data do leilуo;Tэtulo;Tipo de leilуo;Volta;Data de liquidaчуo;Data de vencimento;Oferta;Taxa mщdia;Taxa de corte;Venda;Financeiro (R$);Venda para Bacen;Financeiro para Bacen (R$)
31/08/2006;NTN-F;Venda;2.к volta;01/09/2006;01/01/2014;45.000;14,5814;0;0;0;0;0
31/08/2004;LFT;Venda;1.к volta;01/09/2004;14/06/2006;1.500.000;0,2775;0,2775;1.030.850;2.106.914.147,87;0;0
31/08/2004;LFT;Venda;1.к volta;01/09/2004;17/08/2005;1.500.000;0,105;0,105;336.900;691.276.161,25;0;0
31/08/2004;LFT;Venda;2.к volta;01/09/2004;17/08/2005;75.000;0,105;0,105;744;1.526.593,83;0;0
31/08/2004;LFT;Venda;1.к volta;01/09/2004;21/03/2007;1.500.000;0,3323;0,3323;132.250;269.361.043,42;0;0
31/08/2004;LTN;Venda;1.к volta;01/09/2004;01/01/2006;300.000;18,5979;18,6388;300.000;239.136.400,30;0;0
31/08/2004;LTN;Venda;2.к volta;01/09/2004;01/01/2006;45.000;18,5979;18,5979;4.500;3.587.046,00;0;0
31/08/2004;LTN;Venda;1.к volta;01/09/2004;01/07/2005;1.500.000;18,1379;18,1969;1.500.000;1.307.197.721,55;0;0
31/08/2004;LTN;Venda;2.к volta;01/09/2004;01/07/2005;225.000;18,1379;18,1379;22.500;19.607.965,83;0;0
31/08/2001;NTN-D;Venda;1.к volta;06/09/2001;13/10/2004;1.000.000;11;11;1.000.000;1.541.541.811,99;-;-
31/08/2000;LTN;Venda;1.к volta;01/09/2000;03/07/2002;500.000;17,5569;17,5769;500.000;373.124.456,04;-;-
31/07/2014;LTN;Venda;1.к volta;01/08/2014;01/07/2018;2.000.000;11,9269;11,944;2.000.000;1.289.261.259,82;15.500.000;9.991.774.765,00
31/07/2014;LTN;Venda;2.к volta;01/08/2014;01/07/2018;400.000;11,9269;11,9269;332.965;214.639.437,66;0;0
31/07/2014;LTN;Venda;1.к volta;01/08/2014;01/10/2015;1.500.000;11,1916;11,197;1.500.000;1.324.821.767,22;11.500.000;10.156.966.876,50
31/07/2014;LTN;Venda;2.к volta;01/08/2014;01/10/2015;300.000;11,1916;11,1916;274.994;242.878.691,19;0;0
31/07/2014;LTN;Venda;1.к volta;01/08/2014;01/10/2016;2.000.000;11,5922;11,607;2.000.000;1.576.283.136,56;0;0
31/07/2014;LTN;Venda;2.к volta;01/08/2014;01/10/2016;400.000;11,5922;11,5922;366.653;288.974.470,28;0;0
31/07/2008;LTN;Venda;1.к volta;01/08/2008;01/07/2010;1.000.000;14,848;14,848;1.000.000;767.786.697,00;0;0
31/07/2008;LTN;Venda;2.к volta;01/08/2008;01/07/2010;150.000;14,848;14,848;150.000;115.168.004,53;0;0
31/07/2008;LTN;Venda;1.к volta;01/08/2008;01/10/2009;500.000;14,8942;14,898;400.000;339.995.135,90;0;0
31/07/2008;NTN-F;Venda;1.к volta;01/08/2008;01/01/2012;2.000.000;14,263;14,274;2.000.000;1.802.844.207,87;0;0
